City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,papatowai,-46.5619,169.4708,11.15,90,100,4.35,NZ,1683834787
1,yellowknife,62.456,-114.3525,20.29,26,75,6.69,CA,1683802270
2,bethel,41.3712,-73.414,22.05,46,0,0.0,US,1683797957
3,albany,42.6001,-73.9662,22.36,51,40,3.73,US,1683797903
4,stanley,54.868,-1.6985,9.84,93,40,2.06,GB,1683864352
5,bikenibeu village,1.3673,173.1241,29.98,79,75,5.14,KI,1683829119
6,adamstown,-25.066,-130.1015,21.89,57,86,7.99,PN,1683817660
7,jiuquan,39.7432,98.5174,16.56,17,3,2.65,CN,1683843298
8,tateyama,34.9833,139.8667,16.72,64,99,2.37,JP,1683834007
9,puerto ayora,-0.7393,-90.3518,25.86,97,93,2.24,EC,1683806117
10,adrar,20.5022,-10.0711,30.95,11,50,3.79,MR,1683871495
11,howard springs,-12.497,131.047,22.71,53,21,4.88,AU,1683840308
12,edinburgh of the seven seas,-37.0676,-12.3116,16.78,86,93,12.73,SH,1683877093
13,talnakh,69.4865,88.3972,-14.33,85,22,4.61,RU,1683833993
14,kapuskasing,49.4169,-82.4331,19.05,59,20,6.69,CA,1683798716
15,iskateley,67.6803,53.1512,0.38,98,100,3.88,RU,1683844702
16,blackmans bay,-43.0167,147.3167,14.29,71,100,2.29,AU,1683839553
17,wailua homesteads,22.0669,-159.378,26.44,72,75,5.14,US,1683820800
18,hawaiian paradise park,19.5933,-154.9731,25.96,76,28,0.89,US,1683819969
19,brisas de zicatela,15.8369,-97.0419,30.29,70,75,4.12,MX,1683806397
20,arkhangel'sk,64.5401,40.5433,3.29,96,63,1.82,RU,1683850219
21,pskov,57.8136,28.3496,3.95,93,92,0.0,RU,1683856238
22,naraini,25.1833,80.4833,29.09,13,0,1.54,IN,1683849325
23,vilyuchinsk,52.9306,158.4028,5.15,91,99,1.38,RU,1683826488
24,vila velha,-20.3297,-40.2925,23.97,88,100,3.09,BR,1683795673
25,qaqortoq,60.7167,-46.0333,2.1,86,100,0.98,GL,1683786701
26,saurimo,-9.6608,20.3916,15.9,52,21,1.5,AO,1683866641
27,bilibino,68.0546,166.4372,1.19,89,100,1.73,RU,1683817216
28,grytviken,-54.2811,-36.5092,-4.67,73,7,3.85,GS,1683799326
29,leava,-14.3,-178.1667,28.88,70,18,7.05,WF,1683914680
30,iqaluit,63.7506,-68.5145,-3.15,80,20,4.63,CA,1683790605
31,dudinka,69.4058,86.1778,-14.1,96,56,5.97,RU,1683834651
32,margaret river,-33.95,115.0667,11.7,73,69,4.81,AU,1683846139
33,severo-yeniseyskiy,60.3725,93.0408,-0.52,93,100,2.36,RU,1683839774
34,waitangi,-43.9535,-176.5597,9.34,84,45,0.89,NZ,1683917483
35,anadyr,64.75,177.4833,2.28,80,0,3.0,RU,1683817299
36,east london,-33.0153,27.9116,18.81,82,100,5.47,ZA,1683866963
37,vorgashor,67.5833,63.95,-13.84,97,65,2.25,RU,1683842217
